model,tau_up,tau_dn,margin,median_sharpe,geo_equity,avg_trades,total_trades,avg_win_rate
logreg,0.4,0.4,0.04,2.1294440178070686,1.744337922317213,12.617647058823529,429,0.6034313725490197
logreg,0.4,0.4,0.06,2.1294440178070686,1.7424923955235434,12.617647058823529,429,0.6011689291101057
logreg,0.4,0.4,0.08,2.1294440178070686,1.7424923955235434,12.617647058823529,429,0.6011689291101057
logreg,0.4,0.4,0.1,2.1294440178070686,1.7382645726390158,12.617647058823529,429,0.6011689291101057
logreg,0.4,0.4,0.12,2.1294440178070686,1.7382645726390158,12.617647058823529,429,0.6011689291101057
logreg,0.4,0.4,0.14,2.1294440178070686,1.7382645726390158,12.617647058823529,429,0.6011689291101057
logreg,0.4,0.4,0.16,2.1294440178070686,1.7382645726390158,12.617647058823529,429,0.6011689291101057
logreg,0.4,0.4,0.18,2.1294440178070686,1.7382645726390158,12.617647058823529,429,0.6011689291101057
logreg,0.4,0.4,0.2,2.1294440178070686,1.7382645726390158,12.617647058823529,429,0.6011689291101057
logreg,0.4,0.45,0.0,2.4177604459983946,1.8284842847357512,12.225806451612904,379,0.6006861418151741
logreg,0.4,0.45,0.02,2.4177604459983946,1.8284842847357512,12.225806451612904,379,0.6006861418151741
logreg,0.4,0.45,0.04,2.4177604459983946,1.8284842847357512,12.225806451612904,379,0.6006861418151741
logreg,0.4,0.45,0.06,2.4177604459983946,1.8284842847357512,12.225806451612904,379,0.6006861418151741
logreg,0.4,0.45,0.08,2.4177604459983946,1.8284842847357512,12.225806451612904,379,0.6006861418151741
logreg,0.4,0.45,0.1,2.4177604459983946,1.8284842847357512,12.225806451612904,379,0.6006861418151741
logreg,0.4,0.45,0.12,2.4177604459983946,1.8284842847357512,12.225806451612904,379,0.6006861418151741
logreg,0.4,0.45,0.14,2.4177604459983946,1.8284842847357512,12.225806451612904,379,0.6006861418151741
logreg,0.4,0.45,0.16,2.4177604459983946,1.8284842847357512,12.225806451612904,379,0.6006861418151741
logreg,0.4,0.45,0.18,2.4177604459983946,1.8284842847357512,12.225806451612904,379,0.6006861418151741
logreg,0.4,0.45,0.2,2.4177604459983946,1.8284842847357512,12.225806451612904,379,0.6006861418151741
logreg,0.4,0.5,0.0,2.342900804747955,1.7153829282194066,11.766666666666667,353,0.613335275835276
logreg,0.4,0.5,0.02,2.342900804747955,1.7153829282194066,11.766666666666667,353,0.613335275835276
logreg,0.4,0.5,0.04,2.342900804747955,1.7153829282194066,11.766666666666667,353,0.613335275835276
logreg,0.4,0.5,0.06,2.342900804747955,1.7153829282194066,11.766666666666667,353,0.613335275835276
logreg,0.4,0.5,0.08,2.342900804747955,1.7153829282194066,11.766666666666667,353,0.613335275835276
